roof_type,azimuth,southern_most_pitch,northern_most_pitch,pitch_change,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
waffle,0,15,20,1.0,12,4,16662.51443424761,0.6960363,1639759.8056088751
waffle,0,15,20,2.0,12,4,16655.35493218006,0.70309955,1649025.6768354098
waffle,0,15,20,0.5,12,8,14937.945592163527,0.6918981,1466865.4797849425
waffle,0,15,20,1.0,12,8,14933.92024974233,0.70147777,1481087.0998271848
waffle,0,15,20,2.0,12,8,14922.414979986223,0.7079569,1487829.8272048656
waffle,0,15,20,0.5,12,10,14059.419615382232,0.6936983,1384177.3061511181
waffle,0,15,20,1.0,12,10,14055.053821114467,0.70472986,1400414.8954378148
waffle,0,15,20,2.0,12,10,14039.683421570842,0.71584886,1415347.8975826497
waffle,0,15,20,0.5,12,12,13155.910481036544,0.7067917,1319846.6510804966
waffle,0,15,20,1.0,12,12,13151.524660189569,0.71251625,1325110.4066947552
waffle,0,15,20,2.0,12,12,13135.022758920584,0.7183585,1329003.8443328468
waffle,0,15,20,0.5,12,14,12646.14392053733,0.6998546,1256176.509347707
waffle,0,15,20,1.0,12,14,12633.15668391969,0.70774513,1264265.6532099573
waffle,0,15,20,2.0,12,14,12633.15668391969,0.7133961,1269332.9560767221
waffle,0,15,20,0.5,12,16,12531.561847587704,0.7064234,1256496.0673084192
waffle,0,15,20,1.0,12,16,12531.501767850075,0.7151972,1267325.278633383
waffle,0,15,20,2.0,12,16,12531.501767850075,0.7211007,1272763.5258574968
waffle,0,15,20,0.5,12,20,10468.774122516685,0.7232321,1074966.6344694507
waffle,0,15,20,1.0,12,20,10467.732740397769,0.7367344,1090826.9365610443
waffle,0,15,20,2.0,12,20,10464.688700357858,0.7406067,1091653.6080193499
waffle,0,15,20,0.5,18,4,17126.890752967513,0.6866653,1669014.5836586512
waffle,0,15,20,1.0,18,4,17126.890752967513,0.7002267,1695639.1381794817
waffle,0,15,20,2.0,18,4,17122.004267640285,0.7075167,1705940.0446014607
waffle,0,15,20,0.5,18,8,15945.45275234639,0.6867209,1554033.6649082268
waffle,0,15,20,1.0,18,8,15935.65975511273,0.6996503,1576443.1700175873
waffle,0,15,20,2.0,18,8,15933.857362983837,0.705932,1584022.8996446228
