roof_type,azimuth,pitch,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
waffle,0,45,12,10,12358.873066954486,0.5221659,941328.716336332
waffle,0,45,12,12,11701.203713504563,0.51942873,886496.7632981775
waffle,0,45,12,14,11437.326939593215,0.5058262,843474.1222106332
waffle,0,45,12,16,11308.182117937731,0.5094694,840050.0404221305
waffle,0,45,12,20,9543.179525495474,0.5327803,741854.1589695625
waffle,0,15,18,4,17122.25235104216,0.72520053,1738826.4155333496
waffle,0,15,18,8,15929.069546157893,0.7277286,1623316.1286793184
waffle,0,15,18,10,15712.192756185977,0.72208464,1588745.4744444904
waffle,0,15,18,12,15120.14715534344,0.7263834,1538020.046279409
waffle,0,15,18,14,14255.713918563879,0.7462126,1489809.9805925542
waffle,0,15,18,16,14319.114834265732,0.7232738,1450278.3351670185
waffle,0,15,18,20,12242.594666126051,0.7505318,1286851.2335990968
waffle,0,30,18,4,16942.532983396457,0.56908965,1409582.0980406208
waffle,0,30,18,8,15821.502262932208,0.58719087,1358661.4857302406
waffle,0,30,18,10,15616.690871479048,0.58257043,1330407.6587293248
waffle,0,30,18,12,15045.091365055838,0.5934107,1305816.1656500355
waffle,0,30,18,14,14175.71181552253,0.5920962,1227606.4470575675
waffle,0,30,18,16,14260.089502922961,0.59303254,1236886.388381019
waffle,0,30,18,20,12208.160719648056,0.6208872,1109115.1557838782
waffle,0,45,18,4,14410.241134613581,0.48172635,1011271.7439043743
waffle,0,45,18,8,13710.117598823821,0.5028272,1004998.0904271026
waffle,0,45,18,10,13650.6917563269,0.48634028,967302.3332577118
waffle,0,45,18,12,13393.042930862575,0.4992571,974673.8972847294
waffle,0,45,18,14,12605.247503429506,0.49384505,907237.0854483285
waffle,0,45,18,16,12805.322850484852,0.5049227,942647.1963296724
waffle,0,45,18,20,10960.61853836686,0.52735955,843251.831126065
waffle,45,15,8,4,15660.056216694577,0.75019413,1582504.032530898
waffle,45,15,8,8,13168.616505634942,0.75609666,1341250.7442894855
