roof_type,azimuth,pitch,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
sawtooth,-45,30,12,20,6534.379531063318,0.6960175,644561.0748494599
sawtooth,-45,45,12,4,10754.205102297097,0.5047891,761547.8239291284
sawtooth,-45,45,12,8,9889.781878296388,0.5082928,705272.7300365336
sawtooth,-45,45,12,10,9325.571802667237,0.52483284,687010.3390844612
sawtooth,-45,45,12,12,8862.981419624648,0.55106235,686019.0874340131
sawtooth,-45,45,12,14,8180.98101356015,0.55023164,632263.6530044811
sawtooth,-45,45,12,16,7664.972455332882,0.5639056,607288.959988587
sawtooth,-45,45,12,20,6541.829038530497,0.6011181,552878.7321244006
sawtooth,-45,15,18,4,14461.366383440756,0.66735095,1323569.0790374652
sawtooth,-45,15,18,8,12271.020945291808,0.7056562,1188030.5528015757
sawtooth,-45,15,18,10,11380.184010674944,0.71061206,1109565.1104706125
sawtooth,-45,15,18,12,10514.609317106055,0.7181276,1036071.3898163708
sawtooth,-45,15,18,14,9951.740953843306,0.74659556,1019644.2090506029
sawtooth,-45,15,18,16,9519.269009592754,0.7513511,981565.071154804
sawtooth,-45,15,18,20,8409.732959252595,0.7650087,882958.4695954705
sawtooth,-45,30,18,4,13283.24279795251,0.5647193,1061267.8225579497
sawtooth,-45,30,18,8,11824.941634579029,0.6047123,1012441.9644953689
sawtooth,-45,30,18,10,11229.19130556061,0.60738397,965723.5845893805
sawtooth,-45,30,18,12,10493.862839321115,0.6187404,919516.7889763038
sawtooth,-45,30,18,14,9970.725182549988,0.6501294,918355.9727840972
sawtooth,-45,30,18,16,9529.722350716054,0.65196264,880229.0173527364
sawtooth,-45,30,18,20,8412.937048485792,0.67638767,806360.2184731859
sawtooth,-45,45,18,4,11494.239574597848,0.48617622,783451.1335993182
sawtooth,-45,45,18,8,10795.077265578046,0.51467633,779651.0748369582
sawtooth,-45,45,18,10,10434.947648545734,0.5078807,743537.4757610731
sawtooth,-45,45,18,12,9875.613796218353,0.51520103,713983.0378936798
sawtooth,-45,45,18,14,9582.719989188876,0.55160975,742474.998536288
sawtooth,-45,45,18,16,9325.531751551822,0.5715685,749010.6499780254
sawtooth,-45,45,18,20,8399.189503119613,0.5821332,687215.1111063855
sawtooth,0,15,8,4,11734.255896500743,0.7477187,1228783.7349002322
sawtooth,0,15,8,8,8846.570475083376,0.7953122,985425.0205456569
sawtooth,0,15,8,10,7783.323501384038,0.803245,875630.7933459473
sawtooth,0,15,8,12,6939.847010745344,0.8098315,787133.2868747495
sawtooth,0,15,8,14,6474.823522441298,0.81498796,739058.0304825897
sawtooth,0,15,8,16,5870.131781906493,0.80678135,663299.3068212552
sawtooth,0,15,8,20,5033.183623080436,0.79920506,563392.0959757825
sawtooth,0,30,8,4,11328.457995116545,0.64353466,1067022.2643082326
sawtooth,0,30,8,8,8903.663340107378,0.7143184,931298.0101495342
sawtooth,0,30,8,10,7822.94406730827,0.7467084,855390.677121845
sawtooth,0,30,8,12,6981.229825747834,0.75882137,775728.1339024444
sawtooth,0,30,8,14,6516.316478011179,0.76052296,725690.3863675107
sawtooth,0,30,8,16,5910.54335736017,0.75710773,655275.9468283874
sawtooth,0,30,8,20,5051.446931709649,0.74851024,553676.8760116012
